group,protein_heavy_atom_order,atom_index,rmsf_nm
PME,472,912,0.05989565
PME,473,913,0.05569592
PME,474,914,0.06031643
PME,475,915,0.064994834
PME,476,916,0.06501086
PME,477,917,0.07306418
PME,478,929,0.07929648
PME,479,930,0.077793375
PME,480,931,0.076936245
PME,481,932,0.082789935
PME,482,933,0.086005874
PME,483,934,0.093555726
PME,484,935,0.111244395
PME,485,936,0.09679067
PME,486,941,0.07452345
PME,487,942,0.07761779
PME,488,943,0.08286394
PME,489,944,0.086233586
PME,490,945,0.0796572
PME,491,946,0.08479141
PME,492,947,0.08923942
PME,493,948,0.10215486
PME,494,949,0.10046754
PME,495,950,0.11243916
PME,496,951,0.10852836
PME,497,961,0.08703311
PME,498,962,0.09391868
PME,499,963,0.09197386
PME,500,964,0.097818784
PME,501,965,0.10188291
PME,502,966,0.09736282
PME,503,967,0.08704815
PME,504,975,0.08907991
PME,505,976,0.0894427
PME,506,977,0.09005901
PME,507,978,0.09202524
PME,508,979,0.08779378
PME,509,980,0.11428054
PME,510,981,0.10383026
PME,511,982,0.08855076
PME,512,983,0.12018933
PME,513,990,0.0917733
PME,514,991,0.093943715
PME,515,992,0.0982098
PME,516,993,0.1059998
PME,517,994,0.096185625
PME,518,995,0.0795145
PME,519,996,0.08413213
PME,520,997,0.092223644
PME,521,998,0.100414805
PME,522,999,0.100844085
PME,523,1000,0.1058285
PME,524,1010,0.09849358
PME,525,1011,0.10367921
PME,526,1012,0.10679243
PME,527,1013,0.11696084
PME,528,1014,0.10368731
PME,529,1015,0.115227066
PME,530,1016,0.19520046
PME,531,1017,0.10347692
PME,532,1029,0.10429971
PME,533,1030,0.111676954
PME,534,1031,0.108817
PME,535,1032,0.11782814
PME,536,1033,0.11716407
PME,537,1034,0.13354665
PME,538,1035,0.12600364
PME,539,1043,0.10084641
PME,540,1044,0.10115256
PME,541,1045,0.099821396
PME,542,1046,0.1030896
PME,543,1047,0.10944481
PME,544,1048,0.12605228
PME,545,1049,0.14217235
PME,546,1050,0.11402463
PME,547,1060,0.10316439
PME,548,1061,0.10805185
PME,549,1062,0.11116189
PME,550,1063,0.11457773
PME,551,1064,0.1280219
PME,552,1065,0.14708892
PME,553,1066,0.14911376
PME,554,1067,0.25493178
PME,555,1077,0.11940283
PME,556,1078,0.12940724
PME,557,1079,0.11635855
PME,558,1080,0.12863679
PME,559,1081,0.15675639
PME,560,1087,0.10539323
PME,561,1088,0.100451596
PME,562,1089,0.08335735
PME,563,1090,0.09530374
PME,564,1091,0.114677854
PME,565,1092,0.13940917
PME,566,1093,0.17355557
PME,567,1094,0.1540462
PME,568,1095,0.1884485
PME,569,1096,0.25715652
PME,570,1097,0.1951542
PME,571,1111,0.080812335
PME,572,1112,0.088829994
PME,573,1113,0.10087387
PME,574,1114,0.11950512
PME,575,1115,0.10525949
PME,576,1116,0.08248418
PME,577,1117,0.09853115
PME,578,1118,0.16329508
PME,579,1119,0.19415891
PME,580,1133,0.10329371
PME,581,1134,0.11859957
PME,582,1135,0.12516636
PME,583,1136,0.15033191
PME,584,1137,0.12755792
PME,585,1138,0.13186401
PME,586,1139,0.1725337
PME,587,1140,0.17981774
PME,588,1150,0.12605703
PME,589,1151,0.14057493
PME,590,1152,0.15527174
PME,591,1153,0.1738003
PME,592,1154,0.16544136
PME,593,1155,0.19933937
PME,594,1156,0.21439831
PME,595,1157,0.24685155
PME,596,1158,0.28429037
PME,597,1172,0.19862773
PME,598,1173,0.24622096
PME,599,1174,0.26469782
PME,600,1175,0.30979767
PME,601,1176,0.31811443
PME,602,1177,0.3921812
PME,603,1178,0.428841
PME,604,1179,0.4558506
PME,605,1184,0.28320155
PME,606,1185,0.32797983
PME,607,1186,0.2976065
PME,608,1187,0.34252504
PME,609,1188,0.37104213
PME,610,1189,0.3404006
PME,611,1190,0.43560782
PME,612,1198,0.23453303
PME,613,1199,0.22235103
PME,614,1200,0.17887355
PME,615,1201,0.20185778
PME,616,1202,0.23705865
PME,617,1203,0.29850975
PME,618,1204,0.32361132
PME,619,1205,0.3484155
PME,620,1210,0.14963408
PME,621,1211,0.12536754
PME,622,1212,0.11526794
PME,623,1213,0.12151692
PME,624,1214,0.15270162
PME,625,1215,0.18185665
PME,626,1221,0.12267371
PME,627,1222,0.11762135
PME,628,1223,0.108877085
PME,629,1224,0.11590289
PME,630,1225,0.11882726
PME,631,1226,0.13181265
PME,632,1227,0.14066389
PME,633,1228,0.16900803
PME,634,1229,0.18986809
PME,635,1236,0.10481465
PME,636,1237,0.10292043
PME,637,1238,0.09839351
PME,638,1239,0.099478364
PME,639,1240,0.117123544
PME,640,1241,0.19747356
PME,641,1242,0.2486794
PME,642,1243,0.28966206
PME,643,1244,0.28564185
PME,644,1251,0.100812346
PME,645,1252,0.10277393
PME,646,1253,0.098771304
PME,647,1254,0.09305312
PME,648,1255,0.11430606
PME,649,1256,0.09497651
PME,650,1257,0.091419674
PME,651,1258,0.11043696
PME,652,1259,0.09539228
PME,653,1266,0.10337136
PME,654,1267,0.09750913
PME,655,1268,0.09465965
PME,656,1269,0.09193145
PME,657,1270,0.10521714
PME,658,1271,0.11648498
PME,659,1272,0.099623546
PME,660,1273,0.12953347
PME,661,1285,0.09951881
PME,662,1286,0.09814421
PME,663,1287,0.089749336
PME,664,1288,0.09030219
PME,665,1289,0.110887274
PME,666,1290,0.12888321
PME,667,1291,0.21592939
PME,668,1292,0.25745717
PME,669,1293,0.29069695
PME,670,1294,0.30500093
PME,671,1295,0.32881242
PME,672,1309,0.08704012
PME,673,1310,0.08018278
PME,674,1311,0.07577379
PME,675,1312,0.07898115
PME,676,1313,0.08125346
PME,677,1314,0.07835697
PME,678,1315,0.080402136
PME,679,1316,0.1556203
PME,680,1317,0.11251013
PME,681,1324,0.073726475
PME,682,1325,0.07166632
PME,683,1326,0.06886616
PME,684,1327,0.06815878
PME,685,1328,0.07712087
PME,686,1334,0.07151419
PME,687,1335,0.06831286
PME,688,1336,0.06753393
PME,689,1337,0.06649646
PME,690,1338,0.07280557
PME,691,1339,0.06846421
PME,692,1340,0.05937516
PME,693,1341,0.08512899
PME,694,1342,0.06251191
PME,695,1343,0.08865529
PME,696,1344,0.075050026
PME,697,1354,0.07076222
PME,698,1355,0.07451201
PME,699,1356,0.06994364
PME,700,1357,0.07828918
PME,701,1358,0.0927382
PME,702,1359,0.12611641
PME,703,1360,0.15274201
PME,704,1361,0.20531407
PME,705,1362,0.22639774
PME,706,1363,0.24452151
PME,707,1364,0.2773608
PME,708,1378,0.065060034
PME,709,1379,0.06391327
PME,710,1380,0.061122216
PME,711,1381,0.0684099
PME,712,1382,0.06326618
PME,713,1383,0.075192705
PME,714,1384,0.07570688
PME,715,1394,0.059400648
PME,716,1395,0.062337942
PME,717,1396,0.07190298
PME,718,1397,0.0824717
PME,719,1398,0.060421336
PME,720,1399,0.060240734
PME,721,1400,0.069893055
PME,722,1401,0.06364591
PME,723,1402,0.07789738
PME,724,1403,0.07214476
PME,725,1404,0.077650435
PME,726,1414,0.07234825
PME,727,1415,0.07952112
PME,728,1416,0.100040756
PME,729,1417,0.1090825
PME,730,1418,0.075612284
PME,731,1419,0.077196054
PME,732,1420,0.081716806
PME,733,1421,0.081860535
PME,734,1426,0.1141705
PME,735,1427,0.13576171
PME,736,1428,0.13424608
PME,737,1429,0.15106009
PME,738,1430,0.15728314
PME,739,1431,0.16637978
PME,740,1432,0.16747674
PME,741,1433,0.20081599
PME,742,1434,0.17236513
PME,743,1448,0.11936324
PME,744,1449,0.12117094
PME,745,1450,0.1169969
PME,746,1451,0.12703319
PME,747,1452,0.12051741
PME,748,1453,0.110995494
PME,749,1454,0.10187239
PME,750,1455,0.12641984
PME,751,1460,0.108231395
PME,752,1461,0.10753583
PME,753,1462,0.100775376
PME,754,1463,0.10910486
PME,755,1467,0.09268316
PME,756,1468,0.08883156
PME,757,1469,0.079425886
PME,758,1470,0.08218324
PME,759,1471,0.09023235
PME,760,1472,0.08079022
PME,761,1473,0.087874554
PME,762,1474,0.07662296
PME,763,1481,0.07490186
PME,764,1482,0.06997133
PME,765,1483,0.059988942
PME,766,1484,0.06211816
PME,767,1488,0.058329113
PME,768,1489,0.050983388
PME,769,1490,0.052854538
PME,770,1491,0.06293959
PME,771,1492,0.052683458
PME,772,1493,0.07153071
PME,773,1494,0.09163638
PME,774,1495,0.09345405
PME,775,1496,0.12159852
PME,776,1497,0.12323919
PME,777,1498,0.13343886
PME,778,1499,0.16940583
PME,779,1509,0.051588055
PME,780,1510,0.048190523
PME,781,1511,0.05310273
PME,782,1512,0.05490992
PME,783,1513,0.04415952
PME,784,1514,0.050566223
PME,785,1515,0.05139242
PME,786,1516,0.056708854
PME,787,1528,0.06496177
PME,788,1529,0.07074848
PME,789,1530,0.06720608
PME,790,1531,0.06492236
PME,791,1532,0.077736415
PME,792,1533,0.14410558
PME,793,1539,0.07460256
PME,794,1540,0.076765455
PME,795,1541,0.07530501
PME,796,1542,0.07335532
PME,797,1543,0.08670045
PME,798,1549,0.079047404
PME,799,1550,0.082543336
PME,800,1551,0.07392679
PME,801,1552,0.07552438
PME,802,1553,0.09510655
PME,803,1559,0.070042774
PME,804,1560,0.06497917
PME,805,1561,0.057986733
PME,806,1562,0.062623985
PME,807,1563,0.0652919
PME,808,1564,0.07341442
PME,809,1565,0.06989802
PME,810,1566,0.071237266
PME,811,1567,0.08424037
PME,812,1574,0.05487052
PME,813,1575,0.053808264
PME,814,1576,0.05606154
PME,815,1577,0.057670247
PME,816,1578,0.060518235
PME,817,1579,0.06927004
PME,818,1580,0.11439046
PME,819,1581,0.14587396
PME,820,1593,0.061138086
PME,821,1594,0.06696106
PME,822,1595,0.07001067
PME,823,1596,0.07428057
PME,824,1597,0.08056025
PME,825,1598,0.123577595
PME,826,1599,0.14226869
PME,827,1600,0.18350366
PME,828,1601,0.24828213
PME,829,1602,0.26265243
PME,830,1603,0.33387327
PME,831,1617,0.07200697
PME,832,1618,0.07823127
PME,833,1619,0.07507324
PME,834,1620,0.08452738
PME,835,1621,0.083469674
PME,836,1622,0.09088624
PME,837,1623,0.1006994
PME,838,1624,0.09937905
PME,839,1625,0.107450455
PME,840,1626,0.108175576
PME,841,1634,0.068354525
PME,842,1635,0.06892047
PME,843,1636,0.06677253
PME,844,1637,0.07485087
PME,845,1638,0.07262291
PME,846,1639,0.092372365
PME,847,1640,0.091133304
PME,848,1650,0.06274025
PME,849,1651,0.064486064
PME,850,1652,0.07505064
PME,851,1653,0.08409493
PME,852,1654,0.06939104
PME,853,1655,0.07248095
PME,854,1656,0.13700752
PME,855,1657,0.17549822
PME,856,1667,0.08044572
PME,857,1668,0.09631483
PME,858,1669,0.09838948
PME,859,1670,0.1088537
PME,860,1671,0.10753806
PME,861,1672,0.12951289
PME,862,1673,0.10507926
PME,863,1681,0.094249465
PME,864,1682,0.10164572
PME,865,1683,0.10442039
PME,866,1684,0.12227069
PME,867,1685,0.10153108
PME,868,1686,0.10653467
PME,869,1687,0.1519841
PME,870,1688,0.14802894
PME,871,1695,0.0958944
PME,872,1696,0.09923243
PME,873,1697,0.10654398
PME,874,1698,0.11206885
PME,875,1699,0.0940954
PME,876,1700,0.09665225
PME,877,1701,0.10410339
PME,878,1702,0.118531235
PME,879,1714,0.11402159
PME,880,1715,0.121683545
PME,881,1716,0.091909766
PME,882,1717,0.08352802
PME,883,1721,0.10067827
PME,884,1722,0.08311724
PME,885,1723,0.08432815
PME,886,1724,0.12027209
PME,887,1725,0.10438344
PME,888,1726,0.105053425
PME,889,1727,0.12274108
PME,890,1728,0.14987037
PME,891,1729,0.13735099
PME,892,1736,0.0808358
PME,893,1737,0.11095213
PME,894,1738,0.106950864
PME,895,1739,0.14767154
PME,896,1740,0.15654951
PME,897,1741,0.16088958
PME,898,1742,0.16686559
PME,899,1743,0.18272212
PME,900,1744,0.18383011
PME,901,1758,0.09023162
PME,902,1759,0.084218845
PME,903,1760,0.0892398
PME,904,1761,0.10021801
PME,905,1762,0.080234826
PME,906,1763,0.09065775
PME,907,1764,0.10214815
PME,908,1765,0.16092104
PME,909,1777,0.09308648
PME,910,1778,0.10086637
PME,911,1779,0.09980214
PME,912,1780,0.1018973
PME,913,1781,0.11041131
PME,914,1782,0.13362098
PME,915,1783,0.11231805
PME,916,1791,0.1013467
PME,917,1792,0.10361514
PME,918,1793,0.100670524
PME,919,1794,0.10429754
PME,920,1795,0.11100769
PME,921,1796,0.12285651
PME,922,1797,0.13843945
PME,923,1798,0.19306609
PME,924,1803,0.10095194
PME,925,1804,0.10972475
PME,926,1805,0.10488192
PME,927,1806,0.11892713
PME,928,1807,0.12790443
PME,929,1808,0.12507123
PME,930,1809,0.1428489
PME,931,1810,0.18199308
PME,932,1811,0.20562331
PME,933,1818,0.09496631
PME,934,1819,0.09225211
PME,935,1820,0.08644223
PME,936,1821,0.084613405
PME,937,1822,0.100738816
PME,938,1823,0.14356035
PME,939,1824,0.14944527
PME,940,1825,0.14738908
PME,941,1826,0.17556696
PME,942,1833,0.08810066
PME,943,1834,0.08527408
PME,944,1835,0.081539825
PME,945,1836,0.0776029
PME,946,1837,0.09316934
PME,947,1838,0.113818794
PME,948,1839,0.09929251
PME,949,1849,0.09002599
PME,950,1850,0.0949415
PME,951,1851,0.08680033
PME,952,1852,0.081961654
PME,953,1853,0.11443635
PME,954,1854,0.119736865
PME,955,1855,0.124565095
PME,956,1856,0.12911685
PME,957,1861,0.09016111
PME,958,1862,0.08914144
PME,959,1863,0.07669864
PME,960,1864,0.07570579
PME,961,1865,0.10359327
PME,962,1866,0.10718121
PME,963,1867,0.15334709
PME,964,1868,0.21881421
PME,965,1869,0.192755
PME,966,1876,0.070897125
PME,967,1877,0.061679613
PME,968,1878,0.053844538
PME,969,1879,0.05488293
PME,970,1880,0.061388485
PME,971,1881,0.059947453
PME,972,1882,0.061804842
PME,973,1883,0.1303177
PME,974,1893,0.05591974
PME,975,1894,0.05534871
PME,976,1895,0.055305608
PME,977,1896,0.05241029
PME,978,1897,0.063907854
PME,979,1898,0.074821636
PME,980,1899,0.07159452
PME,981,1900,0.085857816
PME,982,1912,0.06522559
PME,983,1913,0.07209256
PME,984,1914,0.070749514
PME,985,1915,0.07850104
PME,986,1916,0.0896719
PME,987,1917,0.101475246
PME,988,1918,0.10825627
PME,989,1919,0.13131414
PME,990,1920,0.16529265
PME,991,1921,0.16991664
PME,992,1922,0.21546602
PME,993,1936,0.06878058
PME,994,1937,0.07269333
PME,995,1938,0.06602288
PME,996,1939,0.07861707
PME,997,1940,0.0803661
PME,998,1941,0.093890384
PME,999,1942,0.09182256
PME,1000,1943,0.14713748
PME,1001,1944,0.1236374
PME,1002,1951,0.056421973
PME,1003,1952,0.056238282
PME,1004,1953,0.05878071
PME,1005,1954,0.0756793
PME,1006,1955,0.057602923
PME,1007,1961,0.053530186
PME,1008,1962,0.05758128
PME,1009,1963,0.06542963
PME,1010,1964,0.08176172
PME,1011,1965,0.06213888
PME,1012,1966,0.081318885
PME,1013,1967,0.10448295
PME,1014,1968,0.10428295
PME,1015,1973,0.078049734
PME,1016,1974,0.08491191
PME,1017,1975,0.08296731
PME,1018,1976,0.088122286
PME,1019,1977,0.097618125
PME,1020,1978,0.11112354
PME,1021,1979,0.108795874
PME,1022,1980,0.12472117
PME,1023,1992,0.08329291
PME,1024,1993,0.08653165
PME,1025,1994,0.08603262
PME,1026,1995,0.0969814
PME,1027,1996,0.09723478
PME,1028,1997,0.10700973
PME,1029,1998,0.10840836
PME,1030,1999,0.13262504
